"";"Plot";"Location";"X_UTM";"Y_UTM"
"1";"ARW1";"Monts d'Arawa";"237325";311364
"2";"ARW2";"Monts d'Arawa";"236976";312105
"3";"ARW3";"Monts d'Arawa";"236769";311397
"4";"BEI1";"Haute Beiman";"152923";493006
"5";"BEI2";"Haute Beiman";"151657";493884
"6";"BOU1";"Borne Frontière N°1";"116531";244744
"7";"BOU2";"Borne Frontière N°1";"117069";245261
"8";"BOU3";"Borne Frontière N°1";"116967";244844
"9";"CVX1";"Montagne des Chevaux";"345091";521035
"10";"INI1";"Rivière Grand Inini";"184867";394890
"11";"INI2";"Rivière Grand Inini";"185022";394667
"12";"LTN1";"Station Arataye Saut Pararé";"313708";445390
"13";"LTN2";"Station Arataye Saut Pararé";"313180";446040
"14";"LTN3";"Station Arataye Saut Pararé";"313289";445500
"15";"LTN4";"Station des Nouragues";"314268";451311
"16";"LTN5";"Station des Nouragues";"314197";451547
"17";"MEM1";"Massif des Emerillons";"267909";359891
"18";"MEM2";"Massif des Emerillons";"268548";360550
"19";"MEM3";"Massif des Emerillons";"268415";359965
"20";"MPB1";"Montagnes Plomb";"285626";553281
"21";"MPB2";"Piste de Crique Plomb";"286183";554573
"22";"MPB3";"Piste de Crique Plomb";"284799";556573
"23";"MPB4";"Piste de Crique Plomb";"284709";556778
"24";"MPB5";"Montagnes Plomb";"284989";556152
"25";"MPB6";"Montagnes Plomb";"283501";552523
"26";"MPB7";"Montagnes Plomb";"284089";553720
"27";"MPB8";"Montagnes Plomb";"277713";551757
"28";"NOU1";"Station des Nouragues";"313677";452001
"29";"NOU2";"Station des Nouragues";"313438";452024
"30";"NOU3";"Station des Nouragues";"314105";452081
"31";"NOU4";"Station des Nouragues";"314249";451672
"32";"PAS";"Crique Passoura";"301455";573070
"33";"PIA1";"Piton de l'Armontabo";"353595";412856
"34";"PSE10B";"Station de la Piste de St. Elie";"271409";585987
"35";"PSE1B";"Station de la Piste de St. Elie";"272305";585901
"36";"PSE2B";"Station de la Piste de St. Elie";"272205";585911
"37";"PSE2C";"Station de la Piste de St. Elie";"272215";586010
"38";"PSE3B";"Station de la Piste de St. Elie";"272106";585920
"39";"PSE3C";"Station de la Piste de St. Elie";"272115";586020
"40";"PSE4B";"Station de la Piste de St. Elie";"272006";585930
"41";"PSE5B";"Station de la Piste de St. Elie";"271906";585939
"42";"PSE6B";"Station de la Piste de St. Elie";"271807";585949
"43";"PSE6F";"Station de la Piste de St. Elie";"271856";586346
"44";"PSE6G";"Station de la Piste de St. Elie";"271866";586445
"45";"PSE6H";"Station de la Piste de St. Elie";"271875";586545
"46";"PSE6I";"Station de la Piste de St. Elie";"271885";586644
"47";"PSE6J";"Station de la Piste de St. Elie";"271894";586744
"48";"PSE7B";"Station de la Piste de St. Elie";"271707";585958
"49";"PSE8B";"Station de la Piste de St. Elie";"271608";585968
"50";"PSE9B";"Station de la Piste de St. Elie";"271508";585977
"51";"PSEP";"Station de la Piste de St. Elie";"272107";585334
"52";"PSER";"Station de la Piste de St. Elie";"272260";585281
"53";"PSEY";"Piste de Saint-Elie";"272788";583934
"54";"PSEZ";"Piste de Saint-Elie";"272634";583829
"55";"SLD";"Plateau La Douane";"257650";400690
"56";"SPM";"Piste de Saint-Elie";"272783";583377
"57";"SPR";"Piste de Saint-Elie";"272956";583659
"58";"SRV1";"Savane-roche Virginie";"373734";462818
"59";"SRV2";"Savane-roche Virginie";"373508";462508
"60";"SRV3";"Savane-roche Virginie";"372174";463483
"61";"TORT2";"Site expérimental ONF de Montagne Tortue";"343351";466337
"62";"TORT3";"Site archéologique Eperon Barré";"340300";463407
"63";"TRE1";"Réserve Naturelle Trésor";"357965";509465
"64";"WAK1";"Grande Waki - Saut Loutre";"233133";340752
"65";"WAK2";"Grande Waki - Saut Loutre";"230917";340693
"66";"WAN1";"Inselbergs de la Haute Wanapi";"186605";277921
"67";"WAN2";"Inselbergs de la Haute Wanapi";"185737";278039
"68";"WAN3";"Inselbergs de la Haute Wanapi";"185750";278633
